ISBN,title,author,quantity,genre,availability,barcode,status
978-0141033570,1984,George Orwell,5,Fiction,5,1234567890123,Available
978-0061120084,To Kill a Mockingbird,Harper Lee,3,Fiction,3,2345678901234,Reserved
978-0545010221,Harry Potter and the Sorcerer's Stone,J.K. Rowling,8,Fantasy,8,3456789012345,Available
978-0385504201,The Da Vinci Code,Dan Brown,6,Mystery,6,4567890123456,Available
978-0062315007,The Fault in Our Stars,John Green,4,Romance,4,5678901234567,Available
978-1455586691,The Girl on the Train,Paula Hawkins,2,Thriller,2,6789012345678,Available
978-0307277672,The Catcher in the Rye,J.D. Salinger,7,Fiction,7,7890123456789,Available
978-0316015844,Twilight,Stephenie Meyer,9,Fantasy,9,8901234567890,Available
978-0385514231,Angels & Demons,Dan Brown,5,Mystery,5,9012345678901,Available
978-0316769174,The Bell Jar,Sylvia Plath,1,Drama,1,0123456789012,Available